,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
8824,Friday,Above 50,Male,High school,Employee,1-2yr,Motorcycle,Organization,Unknown,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,19
8825,Thursday,31-50,Male,Elementary school,Employee,5-10yr,,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,31-50,3,Student,Normal,Not a Pedestrian,No priority to vehicle,9
8826,Thursday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Above 10yr,,Residential areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Over 51,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,9
8827,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,5-10yrs,, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,9
8828,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,,Snow,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,Overtaking,9
8829,Thursday,31-50,Male,Junior high school,Employee,5-10yr,,Owner,Unknown,No defect,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,9
8830,Saturday,Above 50,Male,Junior high school,Owner,5-10yr,Public (> 45 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Female,18-30,3,,,Not a Pedestrian,No priority to vehicle,15
8831,Wednesday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Unknown,,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Other,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No priority to pedestrian,11
8832,Wednesday,31-50,Male,Junior high school,Employee,Unknown,Other,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Other,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,,na,na,na,na,Employee,,Not a Pedestrian,Changing lane to the right,11
8833,Wednesday,18-30,Female,Elementary school,Employee,Above 10yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,,Not a Pedestrian,Driving carelessly,11
8834,Tuesday,31-50,Male,Junior high school,Owner,1-2yr,Other,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,2,Driver,,Not a Pedestrian,Changing lane to the right,6
8835,Tuesday,18-30,Male,Unknown,,Unknown,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Driver,,Not a Pedestrian,Changing lane to the right,6
8836,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,21
8837,Wednesday,Under 18,Male,Elementary school,Owner,2-5yr,Public (13?45 seats),Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overturning,21
8838,Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Female,Over 51,3,Other,Normal,Not a Pedestrian,Driving carelessly,21
8839,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,17
8840,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,17
8841,Wednesday,Above 50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,11
8842,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Passenger,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,11
8843,Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,11
8844,Wednesday,Under 18,Male,Junior high school,Employee,Unknown,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,,Other,Not a Pedestrian,No distancing,8
8845,Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Blind,Not a Pedestrian,Moving Backward,8
8846,Thursday,18-30,Male,Junior high school,Owner,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,9
8847,Thursday,18-30,Male,Above high school,Owner,1-2yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,9
8848,Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,No distancing,19
8849,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,19
8850,Friday,Above 50,Male,Elementary school,Employee,5-10yr,Other,Owner,1-2yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,3,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,No priority to pedestrian,5
8851,Friday,18-30,Male,High school,Owner,Below 1yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,5
8852,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,5
8853,Monday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,12
8854,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,12
8855,Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,Driving carelessly,18
8856,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,18
8857,Saturday,Under 18,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Other,22
8858,Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,22
8859,Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,4,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,22
8860,Saturday,Unknown,Female,Junior high school,Employee,1-2yr,,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,22
8861,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Organization,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,2
8862,Thursday,18-30,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,31-50,2,,,Not a Pedestrian,Overturning,2
8863,Friday,Above 50,Male,High school,Owner,Above 10yr,Other,Owner,Unknown,No defect,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving at high speed,13
8864,Friday,31-50,Male,Elementary school,Employee,2-5yr,Other,Governmental,Unknown,,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,13
8865,Wednesday,Above 50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,7
8866,Wednesday,18-30,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,,Residential areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,7
8867,Tuesday,18-30,Male,Junior high school,Other,No Licence,Pick up upto 10Q,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Other,18
8868,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,18
8869,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Turnover,Pedestrian,Female,Over 51,3,Employee,Normal,Crossing from driver's nearside,Moving Backward,18
8870,Tuesday,Under 18,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,18-30,3,Student,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,16
8871,Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,23
8872,Saturday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,Under 18,3,,,Not a Pedestrian,No priority to vehicle,23
8873,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,18-30,3,,Normal,Not a Pedestrian,Driving carelessly,17
8874,Thursday,31-50,Male,Junior high school,Employee,2-5yr,,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,17
8875,Sunday,18-30,Male,High school,Employee,1-2yr,Ridden horse,,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,2
8876,Sunday,31-50,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the right,2
8877,Sunday,31-50,Male,Elementary school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Turnover,Passenger,Female,31-50,3,,,Not a Pedestrian,No distancing,2
8878,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Driving carelessly,16
8879,Saturday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,18-30,3,,,Not a Pedestrian,No distancing,16
8880,Sunday,Under 18,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Passenger,Male,5,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,9
8881,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,9
8882,Wednesday,Above 50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,16
8883,Wednesday,18-30,Male,High school,Owner,2-5yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,1,Reversing,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,6
8884,Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,15
8885,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Turnover,16
8886,Tuesday,Above 50,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,16
8887,Monday,31-50,Male,Junior high school,Employee,2-5yr,,Governmental,Unknown,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,7
8888,Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Unemployed,Normal,Not a Pedestrian,Driving to the left,7
8889,Sunday,Unknown,Female,Elementary school,Employee,5-10yr,,Owner,Unknown,,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Fall from vehicles,2,3,Going straight,Pedestrian,Male,31-50,2,Driver,Normal,Crossing from driver's nearside,Driving carelessly,16
8890,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Governmental,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,16
8891,Sunday,18-30,Male,Writing & reading,Employee,2-5yr,Public (12 seats),Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Earth roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,16
8892,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,16
8893,Friday,Above 50,Male,High school,Employee,2-5yr,,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Moving Backward,10
8894,Friday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,,Other,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,10
8895,Friday,Unknown,Female,High school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,,Other,One way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Other,Collision with pedestrians,3,1,Other,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,10
8896,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,19
8897,Friday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,14
8898,Friday,18-30,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving carelessly,14
8899,Tuesday,18-30,Male,High school,Employee,No Licence,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,17
8900,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Long lorry,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,17
8901,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving carelessly,17
8902,Wednesday,Above 50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Unknown,No defect,School areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,18-30,3,,Normal,Crossing from driver's nearside,Overtaking,15
8903,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,15
8904,Wednesday,31-50,Male,Unknown,,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,15
8905,Tuesday,31-50,Male,Unknown,,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,13
