,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
7677,Sunday,Above 50,Male,Elementary school,Employee,1-2yr,Long lorry,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,1
7678,Wednesday,Unknown,Female,Elementary school,Employee,5-10yr,Turbo,Owner,2-5yrs,, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving carelessly,15
7679,Wednesday,Under 18,Unknown,Junior high school,Employee,5-10yr,Long lorry,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,18-30,3,Driver,Normal,Unknown or other,Changing lane to the right,15
7680,Monday,31-50,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Unknown,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Other,Normal,Unknown or other,Driving carelessly,13
7681,Monday,Unknown,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,1-2yr,,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,14
7682,Monday,31-50,Male,High school,Owner,Above 10yr,Automobile,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,14
7683,Monday,Unknown,Male,Unknown,Owner,Below 1yr,Automobile,Owner,Below 1yr,,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,17
7684,Monday,31-50,Male,Writing & reading,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,17
7685,Tuesday,31-50,Male,Above high school,Employee,Above 10yr,,Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,,,Not a Pedestrian,Moving Backward,15
7686,Tuesday,Above 50,Male,High school,Employee,Below 1yr,Stationwagen,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,15
7687,Saturday,Under 18,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,12
7688,Saturday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Changing lane to the right,12
7689,Saturday,31-50,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,, Church areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Other,2,2,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,12
7690,Saturday,Under 18,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,17
7691,Saturday,31-50,Male,Junior high school,Employee,No Licence,Public (13?45 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Reversing,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,17
