Date,Price,Open,High,Low,Vol.,Change %,Daily Return %,MA_30,MA_100
2025-04-20,85174.3,85066.07,85306.38,83976.84,14664050812.0,0.13,0.13036157379535673,83633.47433333333,90963.1308
2025-04-21,87518.91,85171.54,88460.09,85143.84,41396190190.0,2.76,2.7527200106135297,83756.35533333333,90892.65400000001
2025-04-22,93441.89,87521.88,93817.38,87084.53,55899038456.0,6.76,6.767657412552319,84002.60566666667,90882.18850000002
2025-04-23,93699.11,93427.59,94535.73,91962.96,41719568821.0,0.29,0.2752726855161036,84209.279,90874.0144
2025-04-24,93943.8,93692.4,94016.2,91696.71,31483175315.0,0.27,0.261144422823234,84425.01566666667,90848.11190000002
2025-04-25,94720.5,93954.25,95768.39,92898.59,40915232364.0,0.82,0.8267708991971823,84685.66966666668,90790.27200000001
2025-04-26,94646.93,94714.65,95251.36,93927.25,17612825123.0,-0.07,-0.07767062040424655,84934.664,90739.1722
2025-04-27,93754.84,94660.91,95301.2,93665.4,18090367764.0,-0.96,-0.9425450989271389,85248.05366666667,90632.1002
2025-04-28,94978.75,93755.3,95598.49,92860.8,32363449569.0,1.3,1.30543660465956,85660.759,90537.80700000002
2025-04-29,94284.79,94981.86,95485.41,93796.63,25806129921.0,-0.73,-0.7306476448679322,86059.10133333334,90469.7588
2025-04-30,94207.31,94286.47,95249.32,92979.64,28344679831.0,-0.08,-0.0821765631550897,86447.71466666668,90391.6653
2025-05-01,96492.34,94212.86,97437.96,94153.63,32875889623.0,2.42,2.42553364489444,86825.15366666667,90295.12599999999
2025-05-02,96910.07,96494.97,97905.9,96375.95,26421924677.0,0.43,0.4329151930609232,87305.96566666666,90227.696
2025-05-03,95891.8,96904.63,96943.88,95821.29,15775154889.0,-1.05,-1.050737038988836,87732.26466666667,90147.0123
2025-05-04,94315.98,95877.19,96318.92,94173.43,18198688416.0,-1.63,-1.6433313380289083,88081.33733333334,90041.97729999998
2025-05-05,94748.05,94319.56,95193.19,93566.27,25816260327.0,0.45,0.4581090076146266,88456.11233333334,89942.3113
2025-05-06,96802.48,94748.38,96889.18,93399.86,26551275827.0,2.17,2.1683084770609984,89075.71233333334,89883.51110000002
2025-05-07,97032.32,96800.2,97625.8,95829.34,76983822462.0,0.24,0.23743193356204895,89668.94499999999,89832.9574
2025-05-08,103241.46,97034.25,103969.54,96913.88,69895404397.0,6.4,6.399043122951187,90567.92866666667,89852.0472
2025-05-09,102970.85,103239.12,104297.49,102343.09,58198593958.0,-0.26,-0.2621136895971876,91247.82533333333,89844.7236
2025-05-10,104696.33,102973.71,104961.77,102830.48,42276713994.0,1.67,1.6756975396434948,92083.49833333332,89844.33389999998
2025-05-11,104106.36,104701.07,104937.99,103364.74,46285517406.0,-0.57,-0.5635059032155221,92773.54899999998,89861.34730000001
2025-05-12,102812.95,104106.96,105747.45,100814.41,63250475404.0,-1.24,-1.2423928759011438,93357.74366666666,89882.91769999999
2025-05-13,104169.81,102812.49,104997.42,101515.09,52608876410.0,1.32,1.3197364728859462,94040.57133333334,89947.72600000001
2025-05-14,103539.41,104167.33,104303.56,102618.3,45956071155.0,-0.6,-0.6051657385186648,94673.80533333334,89969.0659
2025-05-15,103744.64,103538.83,104153.62,101440.81,50408241840.0,0.2,0.1982143803987313,95342.99366666666,90027.7941
2025-05-16,103489.29,103735.66,104533.48,103137.48,44386499364.0,-0.24,-0.24613319782111898,95991.50766666667,90096.5325
2025-05-17,103191.09,103489.29,103716.95,102659.18,37898552742.0,-0.29,-0.28814575885098836,96601.35233333334,90162.51040000001
2025-05-18,106446.01,103186.95,106597.17,103142.6,49887082058.0,3.16,3.1542645784631285,97334.526,90261.6796
2025-05-19,105606.18,106430.53,107068.72,102112.69,61761126647.0,-0.77,-0.7889727383863399,98019.285,90352.9169
2025-05-20,106791.09,105605.41,107307.12,104206.52,36515726122.0,1.12,1.1220082006564436,98739.84466666666,90455.8269
2025-05-21,109678.08,106791.31,110724.46,106127.23,78086364051.0,2.7,2.703399693738495,99478.48366666668,90578.23219999998
2025-05-22,111673.28,109673.49,111970.17,109285.07,70157575642.0,1.82,1.819141983521222,100086.19666666667,90737.49070000001
2025-05-23,107287.8,111679.36,111798.91,106841.3,67548133399.0,-3.93,-3.927062946481019,100539.153,90831.5101
2025-05-24,107791.16,107278.51,109454.52,106895.29,45903627163.0,0.48,0.469167976228424,101000.73166666666,90943.183
2025-05-25,109035.39,107802.27,109313.3,106683.38,47518041841.0,1.14,1.1542968829725941,101477.89466666666,91058.44720000001
2025-05-26,109440.37,109023.78,110376.88,108735.64,45950461571.0,0.38,0.37142069194231464,101971.00933333334,91177.0474
2025-05-27,108994.64,109440.41,110744.21,107609.55,57450176272.0,-0.41,-0.4072811522841113,102479.00266666667,91305.2435
2025-05-28,107802.33,108992.17,109298.29,106812.93,49155377493.0,-1.09,-1.093916177896448,102906.45533333332,91425.53300000001
2025-05-29,105641.76,107795.57,108910.05,105374.4,56022752042.0,-2.0,-2.0041960132030634,103285.021,91526.5551
2025-05-30,103998.57,105646.21,106308.95,103685.79,57655287183.0,-1.56,-1.5554360321145655,103611.39633333334,91600.18470000001
2025-05-31,104638.09,103994.72,104927.1,103136.12,38997843858.0,0.62,0.614931532231644,103882.92133333333,91663.2262
2025-06-01,105652.1,104637.3,105884.55,103826.95,37397056873.0,0.97,0.9690639422030856,104174.32233333333,91758.4917
2025-06-02,105881.53,105649.81,105958.31,103727.55,45819706290.0,0.22,0.2171561189981075,104507.31333333332,91851.5294
2025-06-03,105432.47,105888.48,106813.58,104920.84,46196508367.0,-0.43,-0.42411551854227847,104877.86299999998,91943.1149
2025-06-04,104731.98,105434.37,105997.7,104232.7,44544857105.0,-0.67,-0.6643968409352552,105210.66066666666,92076.25300000001
2025-06-05,101575.95,104750.78,105936.69,100436.88,57479298400.0,-3.03,-3.013434864880815,105369.77633333333,92204.6508
2025-06-06,104390.34,101574.37,105376.77,101169.57,48856653697.0,2.77,2.7707247630959886,105615.04366666666,92405.084
