Date,Price,Open,High,Low,Vol.,Change %
2/16/2017,1027.44,1007.65,1033.37,1007.65,122277000,1.96
2/17/2017,1046.21,1026.12,1053.17,1025.64,136474000,1.96
2/18/2017,1054.42,1049.21,1061.1,1046.96,99073504,0.5
2/19/2017,1047.87,1054.76,1056.81,1043.46,77423296,-0.65
2/20/2017,1079.98,1048.69,1080.49,1041.69,109478000,2.98
2/21/2017,1115.3,1079.28,1117.25,1076.93,186868992,3.34
2/22/2017,1117.44,1114.8,1125.39,1100.55,136100000,0.24
2/23/2017,1166.72,1117.27,1176.62,1116.96,189454000,4.43
2/24/2017,1173.68,1172.71,1200.39,1131.96,330759008,0.08
2/25/2017,1143.84,1170.41,1174.85,1124.59,139960992,-2.27
2/26/2017,1165.2,1144.27,1167.47,1130.2,116486000,1.83
2/27/2017,1179.97,1163.78,1181.98,1163.38,131570000,1.39
2/28/2017,1179.97,1180.72,1193.25,1171.82,184956000,-0.06
3/1/2017,1222.5,1180.04,1222.5,1179.69,229056992,3.6
3/2/2017,1251.01,1224.68,1262.13,1215.62,368275008,2.15
3/3/2017,1274.99,1250.71,1280.31,1250.71,315739008,1.94
3/4/2017,1255.15,1277.43,1279.4,1230.51,183270000,-1.74
3/5/2017,1267.12,1254.29,1267.29,1238.06,134127000,1.02
3/6/2017,1272.83,1267.47,1276,1264.6,153656992,0.42
3/7/2017,1223.54,1273.21,1275.55,1204.8,291256000,-3.9
3/8/2017,1150,1223.23,1232.16,1148.08,332603008,-5.99
3/9/2017,1188.49,1150.35,1197.46,1141.23,212283008,3.32
3/10/2017,1116.72,1189.36,1270.47,1077.25,563795968,-6.11
3/11/2017,1175.83,1116.32,1193.83,1116.32,283320000,5.33
3/12/2017,1221.38,1176.62,1226.98,1175.36,227176000,3.8
3/13/2017,1231.92,1221.78,1237.37,1217.03,380276992,0.83
3/14/2017,1240,1232.16,1244.81,1220.72,245306000,0.64
3/15/2017,1249.61,1240.16,1251.61,1239.75,297804992,0.76
3/16/2017,1187.81,1251.33,1257.98,1152.44,638568000,-5.08
3/17/2017,1100.23,1180.16,1180.16,1099.57,706598976,-6.77
3/18/2017,973.82,1099.69,1114.07,957.66,621302016,-11.45
3/19/2017,1036.74,976.73,1069.91,976.73,406648000,6.14
3/20/2017,1054.23,1037.24,1063.03,1036.68,286529984,1.64
3/21/2017,1120.54,1055.36,1122.43,1055.36,337391008,6.18
3/22/2017,1049.14,1120.65,1120.65,1014.21,380840992,-6.38
3/23/2017,1038.59,1050.05,1058.01,1028.93,248540000,-1.09
3/24/2017,937.52,1038.45,1040.47,934.36,491038016,-9.72
3/25/2017,972.78,936.54,975.76,903.71,435803008,3.87
3/26/2017,966.72,974.02,1007.96,954.19,303668000,-0.75
3/27/2017,1045.77,972.05,1046.4,971.98,372535008,7.58
3/28/2017,1047.15,1044.58,1064.65,1027.73,326332000,0.25
3/29/2017,1039.97,1046.08,1055.13,1015.88,298457984,-0.58
3/30/2017,1026.43,1042.21,1049.29,1020.04,352968992,-1.51
3/31/2017,1071.79,1026.64,1074.92,1026.64,447287008,4.4
4/1/2017,1080.5,1071.71,1091.72,1061.09,289633984,0.82
4/2/2017,1102.17,1080.61,1107.59,1075.45,514187008,2
4/3/2017,1143.81,1102.95,1151.74,1102.95,580444032,3.7
4/4/2017,1133.25,1145.52,1156.44,1120.52,436310016,-1.07
4/5/2017,1124.78,1134.14,1135.09,1113.63,414784000,-0.83
4/6/2017,1182.68,1125.81,1188.37,1125.81,511222016,5.05
4/7/2017,1176.9,1178.94,1186.58,1163.39,317022016,-0.17
4/8/2017,1175.95,1172.65,1184.98,1162.58,209312000,0.28
4/9/2017,1187.87,1176.57,1197.21,1171.86,242343008,0.96
4/10/2017,1187.13,1187.3,1190.34,1179.04,215883008,-0.01
4/11/2017,1205.01,1187.46,1208.07,1187.46,216182000,1.48
4/12/2017,1200.37,1204.81,1207.14,1196.76,288702016,-0.37
4/13/2017,1169.28,1201.02,1205.89,1156.44,351968992,-2.64
4/14/2017,1167.54,1170.33,1190.8,1159.79,254827008,-0.24
4/15/2017,1172.52,1167.3,1188,1164.96,203559008,0.45
4/16/2017,1182.94,1172.61,1187.22,1172.61,183231008,0.88
4/17/2017,1193.91,1183.25,1194.9,1172.65,253206000,0.9
4/18/2017,1211.67,1193.77,1217.57,1193.77,270524000,1.5
4/19/2017,1210.29,1212.13,1215.51,1205.08,288060992,-0.15
4/20/2017,1229.08,1211.08,1240.79,1208.41,315108000,1.49
4/21/2017,1222.05,1229.42,1235.94,1215.56,272167008,-0.6
4/22/2017,1231.71,1222.71,1235.56,1208.47,249320000,0.74
4/23/2017,1207.21,1231.92,1232.2,1203.94,258951008,-2.01
4/24/2017,1250.15,1209.63,1250.94,1209.63,235806000,3.35
4/25/2017,1265.49,1250.45,1267.58,1249.97,242556000,1.2
4/26/2017,1281.08,1265.99,1294.83,1265.93,329631008,1.19
4/27/2017,1317.73,1281.88,1319.7,1281.3,449196992,2.8
4/28/2017,1316.48,1317.74,1331.28,1292.37,527488992,-0.1
4/29/2017,1321.79,1317.84,1327.2,1315.21,422705984,0.3
4/30/2017,1347.89,1321.87,1347.91,1314.92,413115008,1.97
5/1/2017,1421.6,1348.3,1434.32,1348.3,713624000,5.44
5/2/2017,1452.82,1421.03,1473.9,1415.69,477337984,2.24
5/3/2017,1490.09,1453.78,1492.77,1447.49,583795968,2.5
5/4/2017,1537.67,1490.72,1608.91,1490.72,933548992,3.15
5/5/2017,1555.45,1540.87,1618.03,1530.31,946035968,0.95
5/6/2017,1578.8,1556.81,1578.8,1542.5,582529984,1.41
5/7/2017,1596.71,1579.47,1596.72,1559.76,1080029952,1.09
5/8/2017,1723.35,1596.92,1723.35,1596.92,1340320000,7.92
5/9/2017,1755.36,1723.89,1833.49,1716.3,1167920000,1.83
5/10/2017,1787.13,1756.52,1788.44,1719.1,915723008,1.74
5/11/2017,1848.57,1780.37,1873.93,1755.35,799489984,3.83
5/12/2017,1724.24,1845.76,1856.15,1694.01,740984000,-6.58
5/13/2017,1804.91,1723.12,1812.99,1651.08,579635008,4.75
5/14/2017,1808.91,1800.86,1831.42,1776.62,437196000,0.45
5/15/2017,1738.43,1808.44,1812.8,1708.54,731529024,-3.87
5/16/2017,1734.45,1741.7,1785.94,1686.54,959044992,-0.42
